Code,Description,AmountLC,AmountUSD,AmountLCInUSD
101.01,Goodwill represents the amount of money a venture would pay over book value to acquire another venture,17067249,50000,42775.06015
101.02,These are intellectual property that generate legal property rights,2733618269,184173,6851173.607
110.01,Concession rentals on blocks from which hydrocarbon is not being produced,1715568342,770469,4299670.03
110.02,Concession rentals on blocks from which hydrocarbon is being produced          ,3025700657,333100,7583209.667
110.03,Expenditure incurred in converting from one concession type to another e.g OPL to OML,3091913136,433053,7749155.729
110.04,Signature/ lease bonus payable for award of block other pre-licensing fees and license renewal,696356258,221166,1745253.779
110.05,Cost incurred  when land and/or  mineral rights are purchased in fee or farmed in,2101399122,272091,5266664.466
110.5,Indirect Common cost identifiable to acquisition  ,3350024595,961400,8396051.617
110.6,Direct Common cost identifiable to acquisition  ,3492776243,772288,8753825.17
120,Cost incurred to prospect for hydrocarbons excluding exploration drilling cost,3394532606,687585,8507600.516
120.01,Actual Cost of acquisition damage compensation & community related activities,1190879498,834594,2984660.396
120.02,All expenses associated with Manual  and Computer aided Topographic survey of exploration areas,1921916840,167422,4816834.185
120.03,Expenditure incurred in the acquisition and processing of aeromagnetic data,283372164,749964,710205.9248
120.04, G & G Studies carried out specially for exploration,1198251288,359183,3003136.06
120.05, Cost associated with geological laboratory studies in relation to exploration ,725973071,153875,1819481.381
120.06,Costs associated with petroleum engineering in relation to exploration activities,2047240205,341940,5130927.832
120.5,Indirect Common cost identifiable to exploration (non-drilling) ,4840417990,385112,12131373.41
120.6,Direct Common cost identifiable to exploration (non-drilling) ,2163540924,195884,5422408.331
121.01,Cost incurred to obtain access to and peparing location for drilling depth measurement and under-water survey,1084069708,426455,2716966.687
121.02,Cost incurred to drill and equip exploratory and appraisal wells ,1867108729,630027,4679470.499
121.03,Cost incurred in  mobilising  modifying and demobilising  drilling rigs,2637761633,783645,6610931.411
121.5,Indirect Common cost identifiable to exploration and appraisal - drilling ,2989756550,239700,7493124.185
121.6,Direct Common cost identifiable to exploration and appraisal - drilling ,3945881024,357166,9889426.125
124.01,Cost incurred on pollution control equipment and facilities for environmental protection,1500635269,91172,3760990.649
124.02,Cost incurred on Environmental Impact ,4762395967,349008,11935829.49
124.03,Cost incurred in managing waste and effluents for environmental protection,4772656138,139685,11961544.21
124.04,Cost of weather monitoring equipment,1709941124,889386,4285566.727
124.05,Cost incurred in acquisition and installation of firefighting equipment,531816327,339939,1332873
124.06,Cost incurred in acquisition and installation of safety equipment,587124824,487051,1471490.787
124.07,Cost of acquisition and installing security apparatus on facilities.,2904532827,872471,7279530.895
124.5,Indirect Common cost identifiable to exploration safety loss prevention and environmental protection,3520755836,191651,8823949.464
124.6,Direct Common cost identifiable to exploration safety loss prevention and environmental protection,1029341552,596181,2579803.388
130.01,Cost incurred to obtain access to and peparing location for drilling dept measurement and underwater survey,2279633204,106251,5713366.426
